longitude	latitude	speed
-122.584307	45.490223	10
-122.648552	45.49355	0.245
-122.648537	45.493112	9.6
-122.648537	45.492638	10.4
-122.648555	45.492098	3.975
-122.648615	45.491672	9.4
-122.648647	45.49156	2.4
-122.648623	45.490973	3.25
-122.64863	45.490687	6.2
-122.648628	45.490592	2.5
-122.64862	45.490498	0.183
-122.648382	45.490268	6.4
-122.647752	45.490252	10
-122.646932	45.490257	12.8
-122.646013	45.490255	14.2
-122.64506	45.490258	14.8
-122.644158	45.490265	13.8
-122.643313	45.490263	13
-122.642482	45.490255	13
-122.641608	45.49025	13.4
-122.640767	45.49025	13
-122.640205	45.490248	8.4
-122.639987	45.490245	3.4
-122.639818	45.490242	2.4
-122.639035	45.49026	2.067
-122.63839	45.49027	10.2
-122.637698	45.490272	10.6
-122.636987	45.490278	11.2
-122.636268	45.490278	11
-122.635553	45.490272	11.2
-122.634842	45.490277	10.8
-122.634205	45.490392	10.2
-122.633617	45.490585	10.2
-122.632977	45.490588	10
-122.632337	45.490588	9.8
-122.631668	45.490588	10.4
-122.583693	45.490222	9.6
-122.631032	45.490588	9.8
-122.630437	45.490503	9.4
-122.583095	45.490223	9
-122.629952	45.49033	8.4
-122.629612	45.490288	5.2
-122.582602	45.490227	7.4
-122.628633	45.490295	3.12
-122.58234	45.490217	3.8
-122.628037	45.490295	9.2
-122.627417	45.49029	9.6
-122.582302	45.490215	0.5
-122.626783	45.490288	9.8
-122.625498	45.490287	9.9
-122.581685	45.490223	1.417
-122.624868	45.490283	9.8
-122.581223	45.490227	7.2
-122.62425	45.49028	9.4
-122.62372	45.490272	8.2
-122.580727	45.490228	7.6
-122.6235	45.490267	3
-122.62278	45.490267	0.671
-122.580247	45.490228	7.4
-122.622298	45.490272	7.6
-122.579872	45.490227	5.6
-122.621718	45.490275	9.2
-122.621077	45.490277	9.8
-122.579555	45.490227	5
-122.620483	45.490275	9.2
-122.619897	45.490277	9.2
-122.579107	45.490223	7
-122.619302	45.49028	9.2
-122.578622	45.490208	7.4
-122.61866	45.490285	10
-122.618057	45.490282	9.2
-122.57822	45.490197	6
-122.617425	45.490283	9.8
-122.578027	45.490195	2.6
