longitude	latitude	speed
-122.562832	45.504318	11.8
-122.577278	45.504608	0.519
-122.576545	45.504562	11.6
-122.575728	45.50455	12.8
-122.574918	45.504542	12.4
-122.57412	45.504523	12.4
-122.561978	45.50431	13.4
-122.573298	45.504502	12.6
-122.572483	45.504485	12.6
-122.561145	45.504295	12.8
-122.57169	45.504483	12.2
-122.570927	45.504475	11.8
-122.560263	45.504278	13.8
-122.57016	45.504458	12
-122.569383	45.504428	4.612
-122.559443	45.504262	12.2
-122.568643	45.504413	11.2
-122.567988	45.504403	9.8
-122.559093	45.504253	4
-122.567633	45.5044	4.8
-122.558735	45.50425	1.7
-122.567585	45.504398	0.133
-122.567268	45.504397	5.4
-122.558093	45.504238	10.2
-122.566985	45.50439	3.8
-122.566603	45.504393	1.067
-122.557332	45.504232	11.8
-122.566272	45.50439	4.6
-122.566188	45.50439	1
-122.556563	45.504225	12
-122.56618	45.50439	0.05
-122.555755	45.504217	12.6
-122.565862	45.504378	5.8
-122.565215	45.50435	10.4
-122.554917	45.504205	13
-122.564522	45.504335	10.4
-122.564083	45.504328	6.4
-122.554068	45.504193	13.2
-122.563572	45.50432	8.4
-122.553223	45.504188	13
-122.552363	45.504187	13.4
-122.474115	45.504495	0.4
-122.551497	45.504178	13.4
-122.4735	45.504495	9.8
-122.472685	45.504487	12.8
-122.550648	45.504158	13
-122.47173	45.504478	14.8
-122.549833	45.50414	12.6
-122.470698	45.50447	16
-122.469683	45.504463	15.6
-122.549033	45.504133	12.2
-122.468692	45.504453	15.4
-122.46771	45.504447	15.2
-122.548277	45.504127	11.8
-122.466692	45.504438	15.8
-122.547548	45.504122	11
-122.465687	45.50443	15.4
-122.464698	45.504423	15.4
-122.547055	45.504113	6.6
-122.463538	45.504413	14.833
-122.462415	45.504408	14.667
-122.546268	45.50411	2.6
-122.461618	45.504402	15.25
-122.545668	45.504107	9.4
-122.460603	45.504392	15.8
-122.459557	45.50439	16.2
-122.545035	45.5041	9.8
-122.458518	45.504395	16
-122.457508	45.504392	15.6
-122.544395	45.504093	9.8
-122.45655	45.50439	14.8
-122.543827	45.504087	8.4
-122.455622	45.504385	11.833
-122.45526	45.504383	5.2
-122.543477	45.504083	4.6
-122.455188	45.504383	0.8
-122.455122	45.504383	0.233
-122.454702	45.504382	6.8
-122.454072	45.504385	10
-122.453327	45.504388	11.6
-122.452478	45.504395	13.2
-122.451595	45.504402	13.8
-122.450685	45.504412	14
-122.54276	45.504078	2.067
-122.449777	45.504417	14.2
-122.448878	45.504428	13.8
-122.542078	45.504073	10.6
-122.447972	45.504438	14.2
-122.541338	45.504065	11.4
-122.447073	45.504447	13.8
-122.446202	45.504453	13.4
-122.54062	45.50405	11
-122.445515	45.50446	10.2
-122.539927	45.504042	10.6
-122.445187	45.504462	4.8
-122.445138	45.504463	0.6
-122.539275	45.504035	10
-122.538688	45.504028	8.8
-122.538155	45.504022	8.2
-122.444812	45.504457	5.6
-122.444162	45.504447	10.2
-122.443393	45.504435	12
