longitude	latitude	speed
-122.680988	45.592692	27
-122.682115	45.6099	27
-122.682513	45.609768	27
-122.682923	45.60968	27
-122.683337	45.609748	27
-122.683723	45.609898	27
-122.68412	45.610048	27
-122.684533	45.610215	27
-122.684952	45.610372	27
-122.685368	45.610537	27
-122.685735	45.610682	27
-122.685893	45.610833	27
-122.685722	45.611093	27
-122.685463	45.611383	27
-122.685328	45.611535	27
-122.685225	45.611658	27
-122.684962	45.611973	27
-122.68474	45.61223	27
-122.684458	45.612618	27
-122.684388	45.612702	27
-122.684192	45.612737	27
-122.683812	45.612573	27
-122.68331	45.612367	27
-122.682803	45.612168	27
-122.68244	45.61202	27
-122.682303	45.61197	27
-122.681812	45.611912	27
-122.681322	45.611942	27
-122.68105	45.61188	27
-122.680788	45.6118	27
-122.680218	45.611625	27
-122.679745	45.611363	27
-122.67971	45.610895	27
-122.680018	45.610323	27
-122.680363	45.609695	27
-122.680743	45.609007	27
-122.681168	45.608297	27
-122.681568	45.607595	27
-122.681953	45.606848	27
-122.6823	45.606052	27
-122.682612	45.605168	27
-122.682888	45.604252	27
-122.683155	45.603347	27
-122.683405	45.602495	27
-122.683637	45.601697	27
-122.683905	45.600888	27
-122.684182	45.60002	27
-122.684433	45.599122	27
-122.684698	45.598312	27
-122.68497	45.59764	27
-122.68521	45.597018	27
-122.685342	45.596547	27
-122.685423	45.596353	27
-122.685498	45.59598	27
-122.68555	45.595725	27
-122.685525	45.595625	27
-122.685537	45.595313	27
-122.68568	45.594897	27
-122.686003	45.59458	27
-122.686605	45.594588	27
-122.686888	45.594973	27
-122.68664	45.595262	27
-122.686025	45.595177	27
-122.685208	45.594947	27
-122.684365	45.594837	27
-122.683583	45.594682	27
-122.682838	45.594617	27
-122.682472	45.594323	27
-122.682227	45.593815	27
-122.68195	45.59326	27
-122.681732	45.592873	27
-122.68165	45.592758	27
-122.681438	45.592643	27
-122.66157	45.563263	27
-122.661577	45.562803	27
-122.66159	45.562445	27
-122.661595	45.562352	27
-122.661602	45.561897	27
-122.661593	45.561542	27
-122.6616	45.561113	27
-122.661625	45.560637	27
-122.661643	45.56018	27
-122.661653	45.5598	27
-122.661662	45.559495	27
-122.661668	45.559298	27
-122.661668	45.55929	27
-122.661668	45.55929	27
-122.661668	45.55929	27
-122.661668	45.559268	27
-122.661667	45.559045	27
-122.661673	45.558783	27
